Energy,Intensity,E_err_minus,E_err_plus,I_err
0.033263147,,0.0020431466,0.0021768548,
0.035341747,897469.2487792969,0.0019717477,0.0020882525,
0.037535686,825430.806640625,0.0019656867,0.0020743124,
0.04002922,715792.7270507812,0.0018692203,0.0019607805,
0.04232089,643740.4396972656,0.0015408881,0.0015991107,
0.04529352,560814.0324707031,0.001373522,0.0014164783,
0.048563235,460319.55407714844,0.0018532351,0.0019267648,
0.05230247,444675.1962890625,0.0018124692,0.0018775314,
0.056461945,337525.7601928711,0.0022819452,0.002378054,
0.06113042,325539.6566772461,0.0022904202,0.0023795813,
0.065818064,251220.16662597656,0.0023080632,0.0023919344,
0.07099802,214930.58349609375,0.0027880222,0.0029019788,
0.07677892,181261.22595214844,0.0028789192,0.0029910803,
0.08313406,150089.82467651367,0.0033640638,0.0035059378,
0.09034575,128748.904296875,0.0037057474,0.003864251,
0.09807569,101260.88311767578,0.003865689,0.004024312,
0.10632748,88043.97149658203,0.004227482,0.0044025183,
0.11558842,71286.06535339355,0.0048584193,0.0050715804,
0.12590116,58060.83738708496,0.005241163,0.0054688305,
0.13717666,46106.06590270996,0.0058066696,0.006063327,
0.14910974,38635.34196472168,0.0058697313,0.006110266,
0.16194434,32857.257637023926,0.0067243427,0.0070156604,
0.17675519,25457.874557495117,0.007795185,0.0081548095,
0.19247524,21147.229278564453,0.007565245,0.007874757,
0.20907502,16412.82516860962,0.008725017,0.009104982,
0.22784589,13883.109100341797,0.0096658915,0.010094106,
0.24825636,12343.956398010254,0.010316357,0.010763645,
0.27057716,8730.913860321045,0.011557162,0.012072831,
0.29441515,7030.065418243408,0.011765152,0.012254834,
0.32083297,5810.252983093262,0.014162958,0.014817029,
0.3509321,4953.9070472717285,0.0152820945,0.01597789,
0.38273856,4062.226245880127,0.01582855,0.01651144,
0.41686156,3414.1221618652344,0.017611563,0.01838842,
0.454303,3262.8887100219727,0.019052982,0.01988703,
